TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST002665_3	Cerebrospinal fluid levels of Alzheimer's disease-related proteins	EFO_0004749;EFO_0006514;MONDO_0004975	D000544
GCST002665_4	Cerebrospinal fluid levels of Alzheimer's disease-related proteins	EFO_0004751;EFO_0006514;MONDO_0004975	D000544
GCST002665_5	Cerebrospinal fluid levels of Alzheimer's disease-related proteins	EFO_0004810;EFO_0006514;MONDO_0004975	D000544
GCST002684	Diabetic retinopathy in type 2 diabetes	EFO_0003770	D003930
GCST002705	Hashimoto thyroiditis versus Graves' disease	EFO_0003779;EFO_0004237;EFO_0006812	D050031;D006111;D013967
GCST002725	Sepsis from pneumonia (survival)	EFO_0000714;EFO_0003106;EFO_0006834;HP_0100806	D013534;D011014
GCST002727	Breast cancer (survival)	EFO_0000305;EFO_0000714	D013534
GCST002775	Alzheimer's disease (survival time)	EFO_0000714;MONDO_0004975	D013534;D000544
GCST002809	Bipolar disorder	MONDO_0004985	D001714
GCST002812	Schizophrenia (inflammation and infection response interaction)	EFO_0007037;MONDO_0005090	
GCST002812_2	Schizophrenia (inflammation and infection response interaction)	EFO_0007047;MONDO_0005090	
GCST002812_3	Schizophrenia (inflammation and infection response interaction)	EFO_0007050;MONDO_0005090	
GCST002813	Alzheimer's disease in APOE e4+ carriers	MONDO_0004975	D000544
GCST002814	Alzheimer's disease (APOE e4 interaction)	EFO_0007659;MONDO_0004975	D000544
GCST002815	Bipolar disorder (inflammation and infection response interaction)	EFO_0007037;MONDO_0004985	D001714
GCST002815_2	Bipolar disorder (inflammation and infection response interaction)	EFO_0007050;MONDO_0004985	D001714
GCST002816	Colorectal cancer (aspirin and/or NSAID use interaction)	EFO_0007010;EFO_0007012;EFO_0007013;MONDO_0005575	
GCST002817	Alzheimer's disease in APOE e4- carriers	MONDO_0004975	D000544
GCST002861	Breast cancer (survival)	EFO_0000305;EFO_0000714	D013534
GCST002861_2	Breast cancer (survival)	EFO_0000714;EFO_1000649	D013534
GCST002861_3	Breast cancer (survival)	EFO_0000714;EFO_1000650	D013534
GCST002876	Type 1 diabetes and autoimmune thyroid diseases	EFO_0006812;MONDO_0005147	D013967;D003922
GCST002879	Chronic hepatitis B infection	EFO_0004239	D019694
GCST002900	Obesity in adult survivors of childhood cancer exposed to cranial radiation	EFO_0001073;GO_0009314	D009765
GCST002904	Obesity in adult survivors of childhood cancer not exposed to cranial radiation	EFO_0001073	D009765
GCST002922	Multiple myeloma and monoclonal gammopathy	EFO_0000203;EFO_0001378	D010265;D009101
GCST002945	Emphysema imaging phenotypes	EFO_0007626	
GCST002949	Epilepsy and lamotrigine-induced maculopapular eruptions	EFO_0000474;EFO_1001253;OBA_2040104	D004827
GCST002954	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST002962	Asthma exacerbations	EFO_0007614	
GCST002983	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST003006	Hearing loss in noise exposure	EFO_1001254	D006317
GCST003016	Hypersomnia during a major depressive episode in bipolar disorder	EFO_0005246;EFO_0007634	
GCST003018	Thionamide-induced agranulocytosis in Graves' disease	EFO_0007633;HP_0012235	
GCST003027	Cough in response to angiotensin-converting enzyme inhibitor drugs	EFO_0005325;HP_0012735	D003371
GCST003051	Multiple myeloma (survival)	EFO_0000638;EFO_0001378	D009101
GCST003060	Parkinson's disease in GBA mutation carriers (age at onset)	OBA_2001009	
GCST003125	Influenza A (H1N1) infection	EFO_1001488	
GCST003126	Influenza A (H1N1) severity	EFO_0007743	
GCST003132	Eating disorder in bipolar disorder	EFO_0005203	
GCST003135	Bipolar disorder and eating disorder	EFO_0005203;MONDO_0004985	D001714
GCST003136	Bipolar disorder	MONDO_0004985	D001714
GCST003141	Proteinuria and chronic kidney disease	EFO_0003884;HP_0000093	D051436;D011507
GCST003142	Proteinuria in chronic kidney disease	HP_0000093	D011507
GCST003187	Myocardial infarction in hypertension (ACE inhibitor interaction)	EFO_0000612;EFO_0005325	D009203
GCST003201	Myocardial infarction in hypertension (beta blocker interaction)	EFO_0000612;EFO_0007766	D009203
GCST003202	Myocardial infarction in hypertension (diuretic interaction)	EFO_0000612;GO_0036270	D009203
GCST003206	Myocardial infarction in hypertension (calcium channel blocker interaction)	EFO_0000612;EFO_0007767	D009203
GCST003299	Cardiomyopathy in childhood cancer survivors	EFO_0000318	D009202
GCST003300	Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	EFO_0000318;EFO_0005257	D009202
GCST003319	Major depressive disorder (stressful life events interaction)	EFO_0004778;EFO_0007781;MONDO_0002009	D003865
GCST003342	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST003343	Glaucoma (low intraocular pressure)	EFO_1001022	D057066
GCST003344	Glaucoma (high intraocular pressure)	EFO_0004190	D005902
GCST003369	Anxiety disorder (factor score)	EFO_0007795	
GCST003385	Colorectal cancer (menopausal hormone therapy interaction)	EFO_0003961;MONDO_0005575	D020249
GCST003386	Colorectal cancer (oestrogen-progestogen hormone therapy interaction)	EFO_0003961;MONDO_0005575	D020249
GCST003387	Colorectal cancer (oestrogen hormone therapy interaction)	EFO_0003961;MONDO_0005575	D020249
GCST003423	Alzheimer's disease or small vessel stroke	EFO_1001504;MONDO_0004975	D000544
GCST003446	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST003452	Posterior cortical atrophy and Alzheimer's disease	MONDO_0004975;MONDO_0018899	D000544
GCST003467	Glaucoma (primary angle closure)	EFO_1001506	
GCST003482	Asthma (childhood onset)	MONDO_0005405	
GCST003600	Parkinson's disease (pesticide exposure interaction)	EFO_0007840;MONDO_0005180	D010300
GCST003620	Systemic lupus erythematosus or rheumatoid arthritis	EFO_0000685;MONDO_0007915	D001172;D008180
GCST003651	Parkinson's disease (non-familial, age at onset)	OBA_2001009	
GCST003652	Parkinson's disease (familial, age at onset)	OBA_2001009	
GCST003653	Parkinson's disease (age of onset)	OBA_2001009	
GCST003657	Attention deficit hyperactivity disorder symptom score	EFO_0007860	
GCST003673	Obstructive sleep apnea (average oxygen saturation during sleep)	EFO_0003918;EFO_0007817	D020181
GCST003674	Obstructive sleep apnea trait (apnea hypopnea index)	EFO_0003918;EFO_0007817	D020181
GCST003675	Obstructive sleep apnea trait (average respiratory event duration)	EFO_0003918;EFO_0007817	D020181
GCST003682	Asthma (SNP x SNP interaction)	MONDO_0004979	D001249
GCST003722	Migraine with aura	MONDO_0005475	D020325
GCST003740	Barrett's esophagus  or Esophageal adenocarcinoma	EFO_0000280;EFO_0000478	D001471
GCST003742	Bipolar disorder (early onset)	MONDO_0004985	D001714
GCST003744	Chronic periodontitis (mean interproximal clinical attachment level)	EFO_0007780	
GCST003745	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST003761	Emphysema distribution in smoking	EFO_0005850	
GCST003780	Breast cancer (estrogen-receptor negative)	EFO_1000650	
GCST003781	Breast cancer (estrogen-receptor positive)	EFO_1000649	
GCST003815	Late-onset Alzheimer's disease	EFO_1001870	
GCST003816	Breast cancer-free interval (treatment with aromatase inhibitor)	EFO_0004952;GO_0061477	
GCST003824	Depression in response to interferon-based therapy in chronic hepatitis C	EFO_0007006;EFO_0007859	
GCST003828	Otitis media (chronic)	EFO_0004992	D010033
GCST003829	Otitis media (recurrent)	EFO_0004992	D010033
GCST003832	Asthma (childhood onset)	MONDO_0004979	D001249
GCST003842	Breast cancer (estrogen-receptor negative)	EFO_1000650	
GCST003873	Colorectal cancer (alcohol consumption interaction)	MONDO_0005575;OBA_1000840	
GCST003874	Colorectal cancer (smoking interaction)	EFO_0006527;MONDO_0005575	
GCST003962	Bipolar disorder	MONDO_0004985	D001714
GCST004001	Bipolar disorder or attention deficit hyperactivity disorder	EFO_0003888;MONDO_0004985	D001289;D001714
GCST004002	Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	EFO_0003888;MONDO_0004985	D001289;D001714
GCST004018	Atrial fibrillation (SNPxSNP interaction)	EFO_0000275	D001281
GCST004049	Cough in response to angiotensin-converting enzyme inhibitor drugs	EFO_0005325;HP_0012735	D003371
GCST004098	Sciatica caused by lumbar disc herniation (treated with microdiscectomy)	EFO_0007941;EFO_1002005;HP_0011868	D012585
GCST004125	Type 2 diabetes (age of onset)	MONDO_0005148	D003924
GCST004139	Bipolar disorder	MONDO_0004985	D001714
GCST004173	Rheumatoid arthritis (rheumatoid factor and anti-cyclic citrullinated peptide seronegative)	EFO_0000685	D001172
GCST004174	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	EFO_0000685;EFO_0007791;EFO_0007837	D001172
GCST004223	Attention deficit hyperactivity disorder and obsessive compulsive disorder	EFO_0003888;EFO_0004242	D001289;D009771
GCST004224	Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction)	EFO_0007908;EFO_0007938	
GCST004230	Sepsis in extremely premature infants	HP_0040187	D000071074
GCST004247	Alzheimer's disease (APOE e4 interaction)	MONDO_0004975	D000544
GCST004248	Alzheimer's disease in APOE e4+ carriers	MONDO_0004975	D000544
GCST004249	Alzheimer's disease in APOE e4- carriers	MONDO_0004975	D000544
GCST004253	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	EFO_0007710;HP_0100543;MONDO_0004975	D000544
GCST004367	Anorexia nervosa	MONDO_0005351	D000856
GCST004585	Anorexia nervosa (excluding migration to or from binge-eating disorder or bulimia nervosa)	MONDO_0005351	D000856
GCST004678	Psychosis proneness (hypomanic personality scale)	EFO_0008337	
GCST004679	Psychosis proneness (hypomanic personality scale and perceptual aberration scale)	EFO_0008337	
GCST004680	Psychosis proneness (revised physical anhedonia scale)	EFO_0008337	
GCST004681	Psychosis proneness (hypomanic personality scale and revised physical anhedonia scale)	EFO_0008337	
GCST004682	Psychosis proneness (hypomanic personality scale and revised social anhedonia scale)	EFO_0008337	
GCST004683	Psychosis proneness (perceptual aberration scale and revised social anhedonia scale)	EFO_0008337	
GCST004684	Psychosis proneness (revised physical anhedonia scale and revised social anhedonia scale)	EFO_0008337	
GCST004685	Psychosis proneness (perceptual aberration scale)	EFO_0008337	
GCST004686	Psychosis proneness (revised social anhedonia scale)	EFO_0008337	
GCST004687	Psychosis proneness (schizoidia scale)	EFO_0008337	
GCST004688	Psychosis proneness (perceptual aberration scale and revised physical anhedonia scale)	EFO_0008337	
GCST004695	Insomnia complaints	EFO_0004698	D007319
GCST004700	Insomnia complaints (sex interaction)	EFO_0004698	D007319
GCST004701	Insomnia complaints (continuous)	EFO_0004698	D007319
GCST004702	Insomnia complaints (dichotomous)	EFO_0004698	D007319
GCST004767	Schizophrenia (age at onset)	MONDO_0005090	
GCST004866	Alopecia areata	EFO_0004192	D000506
GCST004880	Alzheimer's disease or type 2 diabetes (pleiotropy)	MONDO_0004975;MONDO_0005148	D000544;D003924
GCST004944	Migraine or coronary artery disease	EFO_0001645;MONDO_0005277	D017202;D008881
GCST004959	Myocardial infarction in cardiovascular disease (time to event) (darapladib treatment interaction)	EFO_0000612;EFO_0008395	D009203
GCST004964	Myocardial infarction in darapladib-treated cardiovascular disease (time to event)	EFO_0000612;EFO_0008395	D009203
GCST004965	Myocardial infarction in placebo-treated cardiovascular disease (time to event)	EFO_0000612;EFO_0008344	D009203
GCST004973	Schizophrenia or verbal-numerical reasoning (pleiotropy)	EFO_0008394;MONDO_0005090	
GCST004974	Schizophrenia or reaction time (pleiotropy)	EFO_0008393;MONDO_0005090	
GCST004975	Schizophrenia or general cognitive function (pleiotropy)	EFO_0008354;MONDO_0005090	
GCST005012	Urinary tract infection frequency	EFO_0008413	
GCST005049	Obstructive sleep apnea during non-REM sleep (apnea hypopnea index)	EFO_0008456	
GCST005050	Obstructive sleep apnea during REM sleep (apnea hypopnea index)	EFO_0008455	
GCST005051	Obstructive sleep apnea trait (apnea hypopnea index)	EFO_0007817	
GCST005075	Breast Cancer in BRCA1 mutation carriers	EFO_0000305	
GCST005081	Bipolar disorder lithium response (continuous) or schizophrenia	GO_0010226;MONDO_0004985;MONDO_0005090	D001714
GCST005082	Bipolar disorder lithium response (categorical) or schizophrenia	GO_0010226;MONDO_0004985;MONDO_0005090	D001714
GCST005106	Breast cancer (survival)	EFO_0000305;EFO_0000714	D013534
GCST005110	Breast cancer in childhood cancer survivors treated with less than 10 gray radiotherapy	EFO_0000305	
GCST005111	Breast cancer in childhood cancer survivors	EFO_0000305	
GCST005112	Breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy	EFO_0000305;GO_0009314	
GCST005114	Osteoporosis or obesity (pleiotropy)	EFO_0001073;EFO_0003882	D009765;D010024
GCST005213	Asthma (childhood onset)	MONDO_0005405	
GCST005266	Schizophrenia or cigarettes per day (pleiotropy)	EFO_0006525;MONDO_0005090	
GCST005267	Schizophrenia or lung cancer (pleiotropy)	EFO_0001071;MONDO_0005090	
GCST005361	Attention deficit hyperactivity disorder (sex interaction)	EFO_0003888;EFO_0008343	D001289
GCST005388	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST005406	Open-angle glaucoma and optic cup area	EFO_0004190;OBA_2045265	D005902
GCST005407	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST005408	Open-angle glaucoma and intra-ocular pressure	EFO_0004190;EFO_0004695	D005902
GCST005409	Open-angle glaucoma and vertical cup-disc ratio	EFO_0004190;EFO_0006939	D005902
GCST005410	Open-angle glaucoma and optic disc area	EFO_0004190;OBA_2045264	D005902
GCST005530	Ankylosing spondylitis (SNP x SNP interaction)	EFO_0003898	D013167
GCST005539	Alopecia areata	EFO_0004192	D000506
GCST005540	Sarcoidosis (Lofgren's syndrome)	MONDO_0019338	D012507
GCST005541	Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	MONDO_0019338	D012507
GCST005542	Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	MONDO_0019338	D012507
GCST005543	Sarcoidosis (non-Lofgren's syndrome)	MONDO_0019338	D012507
GCST005549	Alzheimer's disease (late onset)	EFO_1001870	
GCST005559	Virologic severity in Herpes simplex virus type 2 infection	EFO_0009010	
GCST005567	Rheumatoid arthritis (ACPA-negative)	EFO_0000685	D001172
GCST005568	Rheumatoid arthritis (ACPA-positive)	EFO_0000685	D001172
GCST005689	Major depressive disorder (unexposed to adversity)	MONDO_0002009	D003865
GCST005690	Major depressive disorder (exposed to adversity)	MONDO_0002009	D003865
GCST005790	Rosacea symptom severity	EFO_0009180	
GCST005801	Gout vs. Hyperuricemia	EFO_0004274;EFO_0009104	D006073
GCST005902	Depression (broad)	MONDO_0002009	D003865
GCST005903	Major depressive disorder (ICD-10 coded)	MONDO_0002009	D003865
GCST005904	Major depressive disorder (probable)	MONDO_0002009	D003865
GCST005906	Endometriosis or endometrial cancer (pleiotropy)	EFO_0001065;EFO_1001512	D004715
GCST005920	Paternal history of Alzheimer's disease	EFO_0009268	
GCST005921	Family history of Alzheimer's disease	EFO_0009268	
GCST005922	Alzheimer's disease or family history of Alzheimer's disease	EFO_0009268;MONDO_0004975	D000544
GCST005923	Maternal history of Alzheimer's disease	EFO_0009268	
GCST006035	Breast cancer and/or colorectal cancer	EFO_0000305;MONDO_0005575	
GCST006048	Rheumatoid arthritis (ACPA-positive)	EFO_0000685	D001172
GCST006065	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST006066	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST006067	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST006120	Alzheimer's disease (age of onset)	OBA_2001000	
GCST006136	Alzheimer's disease progression score	EFO_0006514	
GCST006196	Type 1 diabetes in high risk HLA genotype individuals (time to event)	EFO_0000409;MONDO_0005147	D018572;D003922
GCST006197	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	EFO_0000482;EFO_0004866;MONDO_0005147	D003922
GCST006216	Attention deficit hyperactivity disorder or educational attainment (years of education) (pleiotropy)	EFO_0003888;EFO_0004784	D001289
GCST006290	Myopia (age of diagnosis)	OBA_2001030	
GCST006425	Gout in chronic kidney disease	EFO_0004274	D006073
GCST006427	Depression in smokers	MONDO_0002009	D003865
GCST006435	Thrombocytopenia in coronary artery bypass surgery	HP_0001873	
GCST006487	Insomnia complaints	EFO_0004698	D007319
GCST006488	Insomnia complaints	EFO_0004698	D007319
GCST006492	Obesity without metabolic disease	EFO_0009382	
GCST006494	Type 2 diabetes (SNP x SNP interaction, 1df)	MONDO_0005148	D003924
GCST006495	Type 2 diabetes (SNP x SNP interaction, 2df)	MONDO_0005148	D003924
GCST006526	Barrett's esophagus x gastroesophageal reflux disease interaction	EFO_0000280;EFO_0003948	D001471;D005764
GCST006527	Barrett's esophagus x smoking interaction	EFO_0000280;EFO_0006527	D001471
GCST006528	Barrett's esophagus x pack-years of smoking exposure interaction	EFO_0000280;EFO_0006526	D001471
GCST006529	Barrett's esophagus x BMI interaction	EFO_0000280;EFO_0004340	D001471;D015992
GCST006576	Anorexia nervosa or obsessive-compulsive disorder	EFO_0004242;MONDO_0005351	D009771;D000856
GCST006637	Pain medicine use during menstruation	EFO_0007010;OBA_2045261	
GCST006806	Late-onset Alzheimer's disease	EFO_1001870	
GCST006813	End stage renal disease x APOL1 genotype interaction	EFO_0003884;EFO_0009324	D051436
GCST006815	End stage renal disease in APOL1 risk genotype-negative individuals	EFO_0003884	D051436
GCST006816	End stage renal disease in APOL1 risk genotype-positive individuals	EFO_0003884	D051436
GCST006865	Bipolar disorder	MONDO_0004985	D001714
GCST006911	Asthma (moderate or severe)	MONDO_0004979	D001249
GCST006983	Attention deficit hyperactivity disorder or cannabis use	EFO_0003888;EFO_0007585	D001289
GCST006990	Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	EFO_0004670	
GCST006991	Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia	EFO_0004760	
GCST006992	Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia	EFO_0004763	
GCST006993	Hippocampal volume in Alzheimer's disease dementia	EFO_0005035	
GCST006994	Logical memory (immediate recall) in Alzheimer's disease dementia	EFO_0004874	
GCST006995	Logical memory (delayed recall) in Alzheimer's disease dementia	EFO_0004874	
