TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST002295_2	Schizophrenia or bipolar disorder	MONDO_0004985;MONDO_0005090	D001714
GCST002295_3	Schizophrenia or bipolar disorder	MONDO_0005090	
GCST002305	Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	EFO_0005537	D064726
GCST002306	Bipolar disorder (body mass index interaction)	EFO_0004340;MONDO_0004985	D015992;D001714
GCST002316	Chronic hepatitis C infection	EFO_0004220	D019698
GCST002322	Asthma and hay fever	EFO_0003956;MONDO_0004979	D006255;D001249
GCST002327	Bipolar disorder	MONDO_0004985	D001714
GCST002329	Acne (severe)	EFO_0003894	D000152
GCST002332	Hypertension (young onset)	EFO_0004772	
GCST002338	Bipolar I disorder	MONDO_0004985	D001714
GCST002339	Type 2 diabetes (young onset) and obesity	MONDO_0005148	D003924
GCST002342	Asthma (corticosteroid response)	GO_0031960	
GCST002346	Breast cancer (early onset)	EFO_0000305	
GCST002354	Anorexia nervosa	MONDO_0005351	D000856
GCST002357	Rheumatoid arthritis (ACPA-negative)	EFO_0000685	D001172
GCST002385	Bipolar disorder	MONDO_0004985	D001714
GCST002415	Colorectal cancer (diet interaction)	EFO_0008111;MONDO_0005575	
GCST002445	Asthma (sex interaction)	EFO_0008343;MONDO_0004979	D001249
GCST002462	Alzheimer's disease (SNP x SNP interaction)	MONDO_0004975	D000544
GCST002481	Acne (severe)	EFO_0003894	D000152
GCST002490	Chronic hepatitis B infection	EFO_0004239	D019694
GCST002505	Suicidal ideation in depression or bipolar disorder	EFO_0004320	D059020
GCST002513	Colorectal cancer (SNP x SNP interaction)	MONDO_0005575	
GCST002515	Pneumoconiosis in silica exposure	MONDO_0015926;OBA_2040029	D011009
GCST002519	Asthma or chronic obstructive pulmonary disease	EFO_0000341;MONDO_0004979	D029424;D001249
GCST002531	Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	EFO_0004670	
GCST002551	Allergic rhinitis in non-asthmatics	EFO_0005854	
GCST002552	Allergic rhinitis in asthma	EFO_0005854	
GCST002564	Bipolar disorder (early onset)	MONDO_0004985	D001714
GCST002581	Glaucoma (high intraocular pressure)	EFO_0004190	D005902
GCST002582	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST002593	Dementia and core Alzheimer's disease neuropathologic changes	EFO_0006801;MONDO_0001627	D003704
GCST002596	Colorectal cancer (calcium intake interaction)	EFO_0006521;MONDO_0005575	
GCST002604	Schizophrenia (treatment resistant)	EFO_0004609	
GCST002621	Chronic bronchitis in chronic obstructive pulmonary disease	EFO_0006505	D029481
GCST002625	Chronic bronchitis and chronic obstructive pulmonary disease	EFO_0000341;EFO_0006505	D029424;D029481
GCST002656	Migraine in bipolar disorder	MONDO_0005277	D008881
GCST002665	Cerebrospinal fluid levels of Alzheimer's disease-related proteins [ACE]	EFO_0006514;EFO_0006515;MONDO_0004975	D000544
GCST002665_2	Cerebrospinal fluid levels of Alzheimer's disease-related proteins	EFO_0004744;EFO_0006514;MONDO_0004975	D000544
